"filename", "language", "Properties", "XML", "Markdown", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\README.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 14, 76
"d:\code\accessible_dialer\app\src\main\AndroidManifest.xml", "XML", 0, 80, 0, 0, 0, 0, 9, 6, 95
"d:\code\accessible_dialer\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 308, 0, 0, 0, 0, 13, 22, 343
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 8, 0, 0, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\build-install.log", "Log", 0, 0, 0, 0, 73, 0, 0, 5, 78
"d:\code\accessible_dialer\gradle.properties", "Properties", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 30, 22, 93
"d:\code\accessible_dialer\scripts\run-and-tail.ps1", "PowerShell", 0, 0, 0, 22, 0, 0, 2, 5, 29
"d:\code\accessible_dialer\ui.xml", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 11, 420, 62, 22, 73, 41, 55, 81, 765
