"filename", "language", "Markdown", "XML", "PowerShell", "Properties", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\README.md", "Markdown", 62, 0, 0, 0, 0, 0, 14, 76
"d:\code\accessible_dialer\app\src\main\AndroidManifest.xml", "XML", 0, 90, 0, 0, 0, 16, 8, 114
"d:\code\accessible_dialer\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 9, 0, 0, 0, 0, 1, 10
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 4, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 364, 0, 0, 0, 13, 22, 399
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 8, 0, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\gradle.properties", "Properties", 0, 0, 0, 4, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 7, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 30, 22, 93
"d:\code\accessible_dialer\scripts\run-and-tail.ps1", "PowerShell", 0, 0, 22, 0, 0, 2, 5, 29
"d:\code\accessible_dialer\ui.xml", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 62, 486, 22, 11, 41, 62, 78, 762
