"filename", "language", "Kotlinscript", "Markdown", "Properties", "XML", "PowerShell", "Kotlin", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\README.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 14, 76
"d:\code\accessible_dialer\app\build.gradle.kts", "Kotlinscript", 49, 0, 0, 0, 0, 0, 0, 1, 12, 62
"d:\code\accessible_dialer\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 90, 0, 0, 0, 16, 8, 114
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\DialerApplication.kt", "Kotlin", 0, 0, 0, 0, 0, 9, 0, 4, 3, 16
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 158, 0, 18, 17, 193
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\BlockedNumbersRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 105, 0, 22, 11, 138
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\BlockingCallScreeningService.kt", "Kotlin", 0, 0, 0, 0, 0, 41, 0, 17, 6, 64
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\QuietHours.kt", "Kotlin", 0, 0, 0, 0, 0, 48, 0, 23, 11, 82
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\DialerInCallService.kt", "Kotlin", 0, 0, 0, 0, 0, 42, 0, 11, 10, 63
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 41, 0, 10, 5, 56
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 490, 0, 54, 16, 560
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\OngoingCallHolder.kt", "Kotlin", 0, 0, 0, 0, 0, 83, 0, 21, 17, 121
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\Ringer.kt", "Kotlin", 0, 0, 0, 0, 0, 112, 0, 19, 12, 143
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\settings\SettingsRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 132, 0, 29, 28, 189
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 0, 0, 0, 0, 312, 0, 48, 13, 373
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\blocking\BlockedNumbersScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 239, 0, 0, 11, 250
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactDetailsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 1366, 0, 98, 66, 1530
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactEditorScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 847, 0, 29, 44, 920
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 592, 0, 47, 20, 659
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 160, 0, 19, 13, 192
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\DuplicateDismissals.kt", "Kotlin", 0, 0, 0, 0, 0, 20, 0, 6, 6, 32
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\DuplicateScanScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 573, 0, 38, 27, 638
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\NameFixScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 912, 0, 86, 65, 1063
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\dialpad\DialpadScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 550, 0, 95, 26, 671
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\favorites\FavoritesScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 538, 0, 59, 19, 616
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 185, 0, 52, 14, 251
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 538, 0, 12, 25, 575
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 0, 0, 58, 0, 3, 6, 67
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 0, 0, 15, 0, 1, 3, 19
