"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\MainActivity.kt", "Kotlin", 0, 24, 8, 1, 33
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\BlockingCallScreeningService.kt", "Kotlin", 0, 4, 5, 1, 10
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\DialerInCallService.kt", "Kotlin", 0, 24, 14, 2, 40
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\Ringer.kt", "Kotlin", 0, 9, 8, 0, 17
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\settings\SettingsRepository.kt", "Kotlin", 0, 50, 15, 9, 74
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 48, 17, 2, 67
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactEditorScreen.kt", "Kotlin", 0, 12, 11, 0, 23
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactPickerDialog.kt", "Kotlin", 0, 143, 8, 4, 155
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\dialpad\DialpadScreen.kt", "Kotlin", 0, 65, 22, 2, 89
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 11, 10, 0, 21
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 297, 43, 9, 349
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\RowActions.kt", "Kotlin", 0, 14, 5, 1, 20
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ShakeDetector.kt", "Kotlin", 0, 53, 19, 10, 82
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 128, 0, 11, 13, 152
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 128, 0, 0, 13, 141
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 128, 0, 0, 13, 141
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 128, 0, 10, 13, 151
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 23, 0, 3, 3, 29
"Total", "-", 535, 754, 209, 96, 1594
