"filename", "language", "Kotlinscript", "Markdown", "XML", "Properties", "PowerShell", "Batch", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\README.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 14, 76
"d:\code\accessible_dialer\app\build.gradle.kts", "Kotlinscript", 71, 0, 0, 0, 0, 0, 0, 7, 15, 93
"d:\code\accessible_dialer\app\src\main\AndroidManifest.xml", "XML", 0, 0, 96, 0, 0, 0, 0, 23, 9, 128
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\DialerApplication.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 9, 4, 3, 16
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 227, 36, 19, 282
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\BlockedNumbersRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 105, 22, 11, 138
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\BlockingCallScreeningService.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 45, 22, 7, 74
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\QuietHours.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 48, 23, 11, 82
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\DialerInCallService.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 66, 25, 12, 103
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 41, 10, 5, 56
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 525, 59, 17, 601
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\OngoingCallHolder.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 83, 21, 17, 121
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\Ringer.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 121, 27, 12, 160
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\settings\SettingsRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 214, 58, 42, 314
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 433, 84, 18, 535
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\blocking\BlockedNumbersScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 239, 0, 11, 250
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactDetailsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 1366, 98, 66, 1530
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactEditorScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 954, 83, 47, 1084
